sample_id,cluster_label
0,0
1,-1
2,-1
3,-1
4,-1
5,0
6,-1
7,-1
8,-1
9,-1
10,0
11,-1
12,-1
13,-1
14,1
15,-1
16,-1
17,2
18,-1
19,-1
20,-1
21,-1
22,0
23,-1
24,-1
25,-1
26,-1
27,-1
28,-1
29,-1
30,0
31,-1
32,0
33,-1
34,-1
35,-1
36,-1
37,-1
38,0
39,-1
40,-1
41,-1
42,-1
43,-1
44,-1
45,-1
46,3
47,-1
48,-1
49,2
50,-1
51,-1
52,-1
53,-1
54,-1
55,1
56,-1
57,-1
58,1
59,-1
60,-1
61,-1
62,-1
63,-1
64,-1
65,-1
66,-1
67,-1
68,-1
69,-1
70,-1
71,-1
72,1
73,0
74,1
75,-1
76,-1
77,-1
78,-1
79,-1
80,-1
81,-1
82,0
83,-1
84,0
85,0
86,-1
87,-1
88,-1
89,-1
90,-1
91,-1
92,-1
93,-1
94,1
95,-1
96,-1
97,-1
98,-1
99,4
100,-1
101,-1
102,-1
103,-1
104,0
105,-1
106,-1
107,0
108,-1
109,-1
110,-1
111,-1
112,-1
113,0
114,-1
115,1
116,-1
117,-1
118,-1
119,-1
120,-1
121,1
122,-1
123,-1
124,-1
125,1
126,-1
127,-1
128,-1
129,2
130,1
131,-1
132,-1
133,1
134,-1
135,-1
136,-1
137,-1
138,-1
139,-1
140,-1
141,-1
142,-1
143,-1
144,-1
145,1
146,-1
147,-1
148,1
149,-1
150,-1
151,0
152,-1
153,-1
154,-1
155,1
156,-1
157,1
158,0
159,-1
160,-1
161,-1
162,1
163,-1
164,2
165,-1
166,2
167,-1
168,-1
169,-1
170,3
171,1
172,-1
173,-1
174,-1
175,-1
176,-1
177,-1
178,-1
179,-1
180,-1
181,-1
182,3
183,-1
184,-1
185,-1
186,-1
187,1
188,-1
189,-1
190,2
191,-1
192,-1
193,-1
194,-1
195,0
196,-1
197,-1
198,-1
199,-1
200,0
201,-1
202,-1
203,-1
204,-1
205,-1
206,-1
207,1
208,-1
209,2
210,1
211,-1
212,-1
213,-1
214,-1
215,-1
216,-1
217,-1
218,1
219,0
220,-1
221,1
222,-1
223,-1
224,0
225,-1
226,-1
227,-1
228,-1
229,-1
230,-1
231,-1
232,-1
233,-1
234,-1
235,-1
236,-1
237,-1
238,-1
239,0
240,2
241,0
242,2
243,-1
244,-1
245,-1
246,-1
247,-1
248,-1
249,-1
250,-1
251,-1
252,-1
253,3
254,-1
255,-1
256,1
257,0
258,0
259,0
260,-1
261,3
262,1
263,-1
264,3
265,-1
266,2
267,-1
268,0
269,-1
270,-1
271,-1
272,-1
273,1
274,-1
275,-1
276,3
277,-1
278,-1
279,-1
280,-1
281,1
282,-1
283,1
284,0
285,-1
286,-1
287,-1
288,-1
289,-1
290,-1
291,-1
292,-1
293,-1
294,0
295,-1
296,-1
297,-1
298,-1
299,-1
300,0
301,-1
302,-1
303,2
304,-1
305,-1
306,-1
307,-1
308,1
309,2
310,-1
311,-1
312,-1
313,1
314,-1
315,-1
316,0
317,-1
318,-1
319,-1
320,-1
321,-1
322,-1
323,-1
324,-1
325,-1
326,-1
327,-1
328,0
329,-1
330,-1
331,-1
332,-1
333,-1
334,-1
335,2
336,-1
337,-1
338,-1
339,-1
340,-1
341,-1
342,-1
343,-1
344,-1
345,-1
346,-1
347,1
348,3
349,0
350,-1
351,-1
352,1
353,-1
354,0
355,1
356,-1
357,-1
358,-1
359,-1
360,-1
361,-1
362,3
363,-1
364,-1
365,-1
366,2
367,-1
368,0
369,-1
370,-1
371,-1
372,-1
373,-1
374,-1
375,3
376,-1
377,-1
378,0
379,3
380,-1
381,-1
382,-1
383,-1
384,-1
385,-1
386,-1
387,-1
388,-1
389,-1
390,-1
391,0
392,-1
393,1
394,-1
395,0
396,-1
397,1
398,-1
399,-1
400,1
401,-1
402,-1
403,-1
404,-1
405,1
406,-1
407,-1
408,-1
409,-1
410,-1
411,-1
412,-1
413,-1
414,-1
415,-1
416,-1
417,-1
418,-1
419,-1
420,-1
421,-1
422,-1
423,-1
424,-1
425,-1
426,1
427,-1
428,-1
429,-1
430,2
431,-1
432,-1
433,-1
434,-1
435,3
436,-1
437,-1
438,-1
439,1
440,3
441,-1
442,2
443,-1
444,-1
445,-1
446,-1
447,-1
448,-1
449,-1
450,-1
451,-1
452,-1
453,-1
454,2
455,1
456,-1
457,-1
458,-1
459,-1
460,-1
461,-1
462,-1
463,-1
464,-1
465,2
466,1
467,-1
468,-1
469,-1
470,-1
471,3
472,2
473,-1
474,-1
475,1
476,-1
477,-1
478,-1
479,0
480,-1
481,0
482,-1
483,-1
484,-1
485,-1
486,-1
487,0
488,-1
489,-1
490,1
491,-1
492,-1
493,-1
494,0
495,2
496,-1
497,-1
498,-1
499,-1
500,-1
501,3
502,-1
503,-1
504,0
505,-1
506,2
507,-1
508,-1
509,-1
510,-1
511,1
512,-1
513,1
514,1
515,1
516,-1
517,-1
518,-1
519,0
520,1
521,-1
522,-1
523,2
524,3
525,-1
526,-1
527,-1
528,-1
529,-1
530,0
531,-1
532,1
533,-1
534,-1
535,2
536,-1
537,-1
538,-1
539,2
540,-1
541,3
542,0
543,3
544,-1
545,-1
546,-1
547,-1
548,-1
549,-1
550,-1
551,1
552,-1
553,-1
554,0
555,-1
556,-1
557,1
558,-1
559,2
560,-1
561,-1
562,-1
563,-1
564,-1
565,1
566,2
567,-1
568,1
569,1
570,-1
571,-1
572,-1
573,-1
574,-1
575,-1
576,-1
577,-1
578,1
579,-1
580,-1
581,-1
582,-1
583,0
584,1
585,-1
586,-1
587,-1
588,-1
589,1
590,-1
591,1
592,0
593,-1
594,-1
595,-1
596,-1
597,0
598,1
599,3
600,-1
601,-1
602,-1
603,-1
604,-1
605,-1
606,-1
607,0
608,-1
609,-1
610,-1
611,-1
612,-1
613,-1
614,-1
615,-1
616,1
617,-1
618,-1
619,-1
620,-1
621,-1
622,-1
623,-1
624,-1
625,2
626,-1
627,-1
628,-1
629,-1
630,-1
631,-1
632,0
633,-1
634,0
635,-1
636,-1
637,3
638,0
639,2
640,3
641,-1
642,-1
643,-1
644,-1
645,-1
646,0
647,2
648,-1
649,-1
650,-1
651,3
652,3
653,-1
654,3
655,-1
656,0
657,0
658,-1
659,-1
660,2
661,-1
662,-1
663,-1
664,-1
665,-1
666,-1
667,-1
668,-1
669,1
670,-1
671,-1
672,0
673,-1
674,1
675,1
676,-1
677,-1
678,-1
679,-1
680,-1
681,-1
682,-1
683,-1
684,-1
685,4
686,0
687,-1
688,-1
689,1
690,2
691,-1
692,-1
693,-1
694,-1
695,-1
696,-1
697,-1
698,-1
699,-1
700,-1
701,3
702,-1
703,-1
704,1
705,-1
706,-1
707,-1
708,-1
709,-1
710,1
711,-1
712,1
713,2
714,-1
715,-1
716,2
717,-1
718,2
719,1
720,-1
721,-1
722,-1
723,-1
724,2
725,-1
726,-1
727,3
728,-1
729,-1
730,1
731,1
732,-1
733,-1
734,-1
735,2
736,-1
737,1
738,-1
739,-1
740,-1
741,3
742,2
743,-1
744,-1
745,-1
746,0
747,-1
748,-1
749,-1
750,2
751,2
752,2
753,2
754,2
755,2
756,-1
757,-1
758,2
759,2
760,2
761,2
762,2
763,2
764,2
765,2
766,2
767,2
768,2
769,2
770,2
771,2
772,2
773,2
774,2
775,2
776,2
777,2
778,2
779,2
780,2
781,-1
782,2
783,2
784,2
785,2
786,2
787,2
788,2
789,2
790,-1
791,-1
792,2
793,2
794,-1
795,2
796,2
797,2
798,-1
799,2
800,2
801,2
802,2
803,2
804,-1
805,2
806,2
807,2
808,2
809,-1
810,2
811,2
812,2
813,2
814,2
815,2
816,2
817,2
818,2
819,2
820,2
821,2
822,2
823,2
824,-1
825,2
826,2
827,-1
828,2
829,2
830,2
831,2
832,2
833,2
834,2
835,-1
836,2
837,2
838,2
839,2
840,2
841,2
842,2
843,-1
844,2
845,2
846,2
847,2
848,2
849,2
850,2
851,2
852,-1
853,2
854,2
855,-1
856,2
857,2
858,2
859,2
860,2
861,2
862,2
863,2
864,2
865,2
866,2
867,2
868,2
869,2
870,2
871,2
872,-1
873,2
874,2
875,2
876,2
877,2
878,2
879,2
880,2
881,2
882,2
883,2
884,2
885,2
886,2
887,2
888,2
889,2
890,2
891,2
892,2
893,2
894,2
895,2
896,-1
897,2
898,2
899,2
900,2
901,2
902,2
903,-1
904,2
905,-1
906,2
907,2
908,2
909,2
910,2
911,2
912,2
913,2
914,-1
915,2
916,2
917,2
918,2
919,2
920,2
921,2
922,2
923,2
924,2
925,2
926,2
927,2
928,2
929,2
930,2
